time_s,x_m,y_m,altitude_m,vz_m_s,speed_m_s,thrust_N
6.88499999999994,-0.1789930413393234,0.008112214285809454,538.1198562062568,34.642930308164814,34.642953323357695,0.0
6.90499999999994,-0.17979114163904394,0.008152109684500445,538.8103608208899,34.407621034621734,34.40764425815997,0.0
6.924999999999939,-0.18059009890802125,0.008192087448765085,539.4961646265209,34.17284857321964,34.17287200544139,0.0
6.944999999999939,-0.18138987289811023,0.008232121201785467,540.1772783094295,33.938607933998014,33.93863157496332,0.0
6.964999999999939,-0.18219042010597225,0.008272181984266982,540.8537124564832,33.70489416443953,33.704918013946845,0.0
6.984999999999938,-0.1829916977358737,0.008312238647431454,541.5254775557544,33.47170233893429,33.47172639710854,0.0
7.004999999999938,-0.1837936687126277,0.008352255516481537,542.1925839972906,33.23902758174208,33.23905184888806,0.0
7.024999999999937,-0.1845962952085289,0.008392197084905158,542.8550420740303,33.006865056276396,33.00688953248959,0.0
7.044999999999937,-0.18539953820393187,0.008432025411631848,543.5128619825485,32.77520996276733,32.775234648128006,0.0
7.064999999999936,-0.18620335957328282,0.00847170342818152,544.1660538237901,32.544057537772936,32.544082432570576,0.0
7.084999999999936,-0.18700772382088698,0.008511199109248295,544.8146276037932,32.313403054141745,32.31342815867604,0.0
7.104999999999936,-0.18781259386408525,0.008550484442864636,545.4585932344121,32.08324182042088,32.08326713492681,0.0
7.124999999999935,-0.18861793272970176,0.008589535499310292,546.097960534023,31.85356918020098,31.853594704974462,0.0
7.144999999999935,-0.18942370629509442,0.008628329254360495,546.7327392282191,31.62438051150137,31.62440624718798,0.0
7.164999999999934,-0.19022988604335156,0.00866684225704727,547.3629389504977,31.395671226779875,31.395697174220885,0.0
7.184999999999934,-0.19103644447692417,0.008705051034718988,547.9885692429466,31.167436772419336,31.16746293256458,0.0
7.2049999999999335,-0.19184335550936688,0.008742931426805378,548.6096395569162,30.939672628345534,30.939699002125096,0.0
7.224999999999933,-0.19265059220676753,0.00878046229110963,549.2261592536864,30.712374307362833,30.712400895797206,0.0
7.244999999999933,-0.19345812955067704,0.008817626111261688,549.8381376051184,30.485537354777744,30.485564159061447,0.0
7.264999999999932,-0.1942659457364657,0.008854411744510793,550.4455837943002,30.25915734801825,30.25918436955372,0.0
7.284999999999932,-0.1950740194233251,0.008890812924471964,551.0485069161891,30.033229896324183,30.03325713664745,0.0
7.304999999999931,-0.19588233119557238,0.008926828944002287,551.6469159782408,29.807750640350815,29.807778101056005,0.0
7.324999999999931,-0.19669086383647302,0.008962465626475208,552.2408199010312,29.582715251375156,29.582742934447236,0.0
7.3449999999999305,-0.19749960300745423,0.008997734178803897,552.8302275188705,29.358119431497176,29.358147339006624,0.0
7.36499999999993,-0.19830853619077218,0.009032647739713191,553.4151475804116,29.133958912762466,29.133987047078868,0.0
7.38499999999993,-0.19911765320971606,0.009067221065700942,553.9955887492482,28.910229457239293,28.91025782076084,0.0
7.404999999999929,-0.1999269436789068,0.009101470264781503,554.5715596045095,28.686926856220616,28.686955451548762,0.0
7.424999999999929,-0.20073640045000254,0.009135414668035002,555.1430686414401,28.46404693004152,28.464075759957296,0.0
7.444999999999928,-0.20154601684537912,0.00916907673409938,555.7101242719796,28.241585527690685,28.241614595137964,0.0
7.464999999999928,-0.2023557869240426,0.009202480108653962,556.2727348253316,28.019538526569153,28.01956783450383,0.0
7.4849999999999275,-0.20316570515081067,0.009235647558936622,556.8309085485259,27.797901831768648,27.797931383389706,0.0
7.504999999999927,-0.20397576891796648,0.009268602617422725,557.3846536069699,27.576671375976254,27.576701174697728,0.0
7.524999999999927,-0.20478597773101623,0.009301369550608214,557.9339780849969,27.355843118977624,27.355873168537915,0.0
7.544999999999926,-0.20559633403882355,0.009333973799555726,558.4788899864054,27.135413047551143,27.13544335187551,0.0
7.564999999999926,-0.20640684102231602,0.009366442140800407,559.0193972349962,26.915377174969564,26.915407738180622,0.0
7.584999999999925,-0.2072175032141571,0.009398799380309285,559.5555076750978,26.69573154080357,26.69576236709072,0.0
7.604999999999925,-0.208028324092055,0.009431067705418223,560.0872290720903,26.476472210477187,26.47650330407872,0.0
7.6249999999999245,-0.20883930670790085,0.009463267018534172,560.6145691129176,26.257595274909878,26.257626640124975,0.0
7.644999999999924,-0.20965045449747446,0.009495417524969895,561.137535406593,26.03909685007055,26.03912849139271,0.0
